ano,id_municipio,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2023,1200401,ESC01,A202301001,C2,2 ano,Publica,Presente,Preenchido,Nao,691,1.0
2023,1200401,ESC01,A202301002,C3,2 ano,Publica,Presente,Preenchido,Nao,710,1.0
2023,1200401,ESC01,A202301003,C4,2 ano,Publica,Presente,Preenchido,Nao,729,1.0
2023,1200401,ESC01,A202301004,C1,2 ano,Publica,Presente,Preenchido,Sim,748,1.0
2023,1200401,ESC01,A202301005,C2,2 ano,Publica,Presente,Preenchido,Sim,767,1.0
2023,1200401,ESC01,A202301006,C3,2 ano,Publica,Presente,Preenchido,Sim,786,1.0
2023,1200401,ESC01,A202301007,C4,2 ano,Publica,Presente,Preenchido,Sim,805,1.0
2023,1200401,ESC01,A202301008,C1,2 ano,Publica,Ausente,Nao preenchido,Nao,,1.0
2024,1200401,ESC01,A202401001,C2,2 ano,Publica,Presente,Preenchido,Nao,705,1.0
2024,1200401,ESC01,A202401002,C3,2 ano,Publica,Presente,Preenchido,Nao,724,1.0
2024,1200401,ESC01,A202401003,C4,2 ano,Publica,Presente,Preenchido,Sim,743,1.0
2024,1200401,ESC01,A202401004,C1,2 ano,Publica,Presente,Preenchido,Sim,762,1.0
2024,1200401,ESC01,A202401005,C2,2 ano,Publica,Presente,Preenchido,Sim,781,1.0
2024,1200401,ESC01,A202401006,C3,2 ano,Publica,Presente,Preenchido,Sim,800,1.0
2024,1200401,ESC01,A202401007,C4,2 ano,Publica,Presente,Preenchido,Sim,819,1.0
2024,1200401,ESC01,A202401008,C1,2 ano,Publica,Ausente,Nao preenchido,Nao,,1.0
2023,1200203,ESC02,A202302001,C2,2 ano,Publica,Presente,Preenchido,Nao,693,1.0
2023,1200203,ESC02,A202302002,C3,2 ano,Publica,Presente,Preenchido,Nao,712,1.0
2023,1200203,ESC02,A202302003,C4,2 ano,Publica,Presente,Preenchido,Nao,731,1.0
2023,1200203,ESC02,A202302004,C1,2 ano,Publica,Presente,Preenchido,Sim,750,1.0
2023,1200203,ESC02,A202302005,C2,2 ano,Publica,Presente,Preenchido,Sim,769,1.0
2023,1200203,ESC02,A202302006,C3,2 ano,Publica,Presente,Preenchido,Sim,788,1.0
