ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao
2023,1200401,Publica,52.0,59.0,63.0,67.0,71.0,75.0,79.0,83.0,2,89.0
2024,1200401,Publica,57.0,59.0,63.0,67.0,71.0,75.0,79.0,83.0,2,89.0
2023,1200203,Publica,49.0,56.0,60.0,64.0,68.0,72.0,76.0,80.0,2,90.0
2024,1200203,Publica,54.0,56.0,60.0,64.0,68.0,72.0,76.0,80.0,2,90.0
2023,3550308,Publica,62.0,69.0,73.0,77.0,81.0,85.0,89.0,93.0,3,91.0
2024,3550308,Publica,67.0,69.0,73.0,77.0,81.0,85.0,89.0,93.0,3,91.0
2023,3509502,Publica,65.0,72.0,76.0,80.0,84.0,88.0,92.0,95.0,3,92.0
2024,3509502,Publica,70.0,72.0,76.0,80.0,84.0,88.0,92.0,95.0,3,92.0
2023,4106902,Publica,64.0,71.0,75.0,79.0,83.0,87.0,91.0,95.0,3,93.0
2024,4106902,Publica,69.0,71.0,75.0,79.0,83.0,87.0,91.0,95.0,3,93.0
2023,4113700,Publica,61.0,68.0,72.0,76.0,80.0,84.0,88.0,92.0,3,94.0
2024,4113700,Publica,66.0,68.0,72.0,76.0,80.0,84.0,88.0,92.0,3,94.0
