ano,id_municipio,serie,rede,taxa_alfabetizacao,media_portugues,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
2023,1200401,2 ano,Publica,52.0,733.6,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,1200401,2 ano,Publica,57.0,742.6,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
2023,1200203,2 ano,Publica,49.0,728.2,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,1200203,2 ano,Publica,54.0,737.2,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
2023,3550308,2 ano,Publica,62.0,751.6,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,3550308,2 ano,Publica,67.0,760.6,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
2023,3509502,2 ano,Publica,65.0,757.0,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,3509502,2 ano,Publica,70.0,766.0,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
2023,4106902,2 ano,Publica,64.0,755.2,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,4106902,2 ano,Publica,69.0,764.2,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
2023,4113700,2 ano,Publica,61.0,749.8,8.0,10.0,12.0,15.0,16.0,14.0,10.0,8.0,7.0
2024,4113700,2 ano,Publica,66.0,758.8,5.0,8.0,10.0,12.0,14.0,15.0,13.0,12.0,11.0
